Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.900000,23.020000,22.860001,22.900000,17.961119,720900
2010-01-05,23.010000,23.040001,22.770000,22.790001,17.874846,4531000
2010-01-06,22.850000,22.969999,22.780001,22.930000,17.984648,486500
2010-01-07,22.799999,22.809999,22.620001,22.770000,17.859161,504800
2010-01-08,22.770000,23.000000,22.709999,22.799999,17.882689,523700
2010-01-11,23.170000,23.230000,23.059999,23.160000,18.165049,575000
2010-01-12,22.760000,22.850000,22.620001,22.760000,17.851318,1167800
2010-01-13,22.930000,22.990000,22.719999,22.940001,17.992495,749100
2010-01-14,22.870001,23.010000,22.799999,22.969999,18.016024,447500
2010-01-15,22.600000,22.660000,22.250000,22.440001,17.600334,1869900
2010-01-19,22.309999,22.670000,22.309999,22.590000,17.717979,1653800
2010-01-20,22.200001,22.200001,21.730000,21.920000,17.192482,1060100
2010-01-21,21.910000,21.959999,21.139999,21.250000,16.666979,1329100
2010-01-22,21.190001,21.340000,20.780001,20.860001,16.361092,1213500
2010-01-25,21.200001,21.270000,20.990000,21.080000,16.533646,1080400
2010-01-26,21.000000,21.190001,20.860001,21.010000,16.478739,3545500
2010-01-27,20.969999,21.020000,20.750000,20.969999,16.447369,1330500
2010-01-28,20.940001,20.940001,20.379999,20.580000,16.141478,805900
2010-01-29,20.580000,20.760000,20.250000,20.340000,15.953240,1155000
2010-02-01,20.590000,20.799999,20.590000,20.700001,16.235600,851400
2010-02-02,20.910000,21.090000,20.830000,21.000000,16.470896,5764800
2010-02-03,20.950001,21.049999,20.730000,20.850000,16.353249,926300
2010-02-04,20.420000,20.490000,19.940001,20.000000,15.686570,1572300
2010-02-05,19.799999,19.860001,19.270000,19.700001,15.451272,3807300
2010-02-08,19.650000,19.870001,19.510000,19.530001,15.317936,739400
2010-02-09,19.930000,20.309999,19.730000,20.120001,15.780692,1163400
2010-02-10,20.080000,20.129999,19.840000,20.049999,15.725784,2057900
2010-02-11,19.750000,20.090000,19.559999,20.030001,15.710100,2934500
2010-02-12,19.660000,19.840000,19.500000,19.770000,15.506175,1386300
2010-02-16,19.910000,20.340000,19.850000,20.330000,15.945397,1244300
2010-02-17,20.379999,20.450001,20.200001,20.290001,15.914024,1805200
2010-02-18,20.270000,20.459999,20.219999,20.330000,15.945397,526800
2010-02-19,20.240000,20.469999,20.160000,20.379999,15.984613,557400
2010-02-22,20.530001,20.530001,20.320000,20.389999,15.992459,615100
2010-02-23,20.200001,20.219999,19.879999,19.980000,15.670883,895700
2010-02-24,20.000000,20.190001,19.889999,20.010000,15.694415,1826600
2010-02-25,19.639999,19.930000,19.570000,19.930000,15.631668,691200
2010-02-26,19.900000,20.170000,19.740000,20.049999,15.725784,2686300
2010-03-01,20.209999,20.410000,20.129999,20.320000,15.937554,1936500
2010-03-02,20.600000,20.719999,20.469999,20.629999,16.180696,783800
2010-03-03,20.799999,21.059999,20.780001,20.840000,16.345404,2130400
2010-03-04,20.920000,20.959999,20.670000,20.790001,16.306189,1611300
2010-03-05,20.930000,21.160000,20.870001,21.110001,16.557177,1493700
2010-03-08,21.160000,21.219999,21.040001,21.059999,16.517956,1399600
2010-03-09,20.900000,21.150000,20.860001,21.030001,16.494429,1756200
2010-03-10,21.129999,21.400000,21.120001,21.280001,16.690510,524900
2010-03-11,21.320000,21.430000,21.219999,21.420000,16.800318,1005200
2010-03-12,21.590000,21.600000,21.440001,21.549999,16.902279,347300
2010-03-15,21.459999,21.469999,21.200001,21.370001,16.761099,410000
2010-03-16,21.510000,21.690001,21.430000,21.670000,16.996397,477500
2010-03-17,21.799999,21.870001,21.730000,21.780001,17.082674,1140800
2010-03-18,21.700001,21.760000,21.440001,21.600000,16.941496,437800
2010-03-19,21.350000,21.520000,21.190001,21.350000,16.745417,447200
2010-03-22,21.000000,21.410000,20.980000,21.389999,16.776783,419800
2010-03-23,21.389999,21.510000,21.270000,21.480000,16.847376,646400
2010-03-24,21.160000,21.260000,21.049999,21.190001,16.619921,2120000
2010-03-25,21.469999,21.620001,21.340000,21.340000,16.737572,1235500
2010-03-26,21.530001,21.680000,21.459999,21.590000,16.933651,1515400
2010-03-29,21.750000,21.860001,21.700001,21.840000,17.129736,492400
2010-03-30,21.889999,21.889999,21.650000,21.780001,17.082674,612800
2010-03-31,21.799999,21.959999,21.740000,21.870001,17.153267,1708000
2010-04-01,22.100000,22.309999,22.080000,22.230000,17.435623,1047000
2010-04-05,22.260000,22.340000,22.160000,22.260000,17.459150,1723400
2010-04-06,21.900000,22.129999,21.889999,22.129999,17.357191,2170700
2010-04-07,21.940001,21.990000,21.799999,21.910000,17.184639,1324400
2010-04-08,21.580000,21.870001,21.540001,21.870001,17.153267,1506800
2010-04-09,21.920000,22.230000,21.910000,22.170000,17.388559,1063200
2010-04-12,22.340000,22.430000,22.280001,22.360001,17.537582,716000
2010-04-13,22.350000,22.389999,22.129999,22.370001,17.545425,682700
2010-04-14,22.530001,22.660000,22.430000,22.629999,17.749353,1416800
2010-04-15,22.440001,22.590000,22.389999,22.580000,17.710136,3449800
2010-04-16,22.370001,22.459999,21.930000,22.110001,17.341503,1138200
2010-04-19,21.850000,22.030001,21.780001,22.000000,17.255228,1133400
2010-04-20,22.260000,22.280001,22.170000,22.260000,17.459150,663500
2010-04-21,22.120001,22.190001,21.950001,22.110001,17.341503,971800
2010-04-22,21.730000,21.910000,21.540001,21.910000,17.184639,1115900
2010-04-23,21.910000,22.209999,21.879999,22.150000,17.372877,842000
2010-04-26,22.209999,22.330000,22.170000,22.260000,17.459150,480400
2010-04-27,21.930000,22.160000,21.219999,21.299999,16.706196,1354600
2010-04-28,21.360001,21.389999,20.920000,21.200001,16.627764,2938400
2010-04-29,21.370001,21.510000,21.299999,21.469999,16.839531,2249000
2010-04-30,21.570000,21.680000,21.320000,21.389999,16.776783,2910500
2010-05-03,21.410000,21.570000,21.350000,21.500000,16.863062,2118700
2010-05-04,20.870001,20.900000,20.520000,20.590000,16.149324,1296200
2010-05-05,20.080000,20.389999,20.000000,20.049999,15.725784,3995900
2010-05-06,19.950001,21.600000,18.580000,19.320000,15.153229,4486200
2010-05-07,19.450001,19.660000,18.770000,19.180000,15.043420,5636500
2010-05-10,20.330000,20.469999,20.049999,20.190001,15.835595,3900000
2010-05-11,19.770000,20.430000,19.770000,20.139999,15.796375,2284700
2010-05-12,20.549999,20.760000,20.500000,20.620001,16.172853,2454100
2010-05-13,20.620001,20.799999,20.450001,20.450001,16.039515,1955100
2010-05-14,20.270000,20.320000,19.580000,19.809999,15.537547,2300800
2010-05-17,19.910000,20.080000,19.389999,19.920000,15.623821,8642400
2010-05-18,20.170000,20.209999,19.500000,19.620001,15.388523,9374700
2010-05-19,19.450001,19.709999,19.270000,19.660000,15.419895,5600200
2010-05-20,19.020000,19.459999,18.680000,19.090000,14.972830,4447600
2010-05-21,18.760000,19.299999,18.709999,19.240000,15.090479,3851300
2010-05-24,18.889999,19.020000,18.690001,18.760000,14.714005,2236100
2010-05-25,18.100000,18.590000,17.969999,18.580000,14.572821,3775600
2010-05-26,18.590000,18.780001,18.219999,18.290001,14.345367,3469200
2010-05-27,18.930000,19.400000,18.850000,19.379999,15.200285,2605400
2010-05-28,19.350000,19.430000,19.030001,19.150000,15.019893,1989700
2010-06-01,18.809999,19.490000,18.790001,19.000000,14.902241,2874100
2010-06-02,19.090000,19.420000,18.959999,19.400000,15.215969,3568000
2010-06-03,19.559999,19.610001,19.240000,19.389999,15.208128,12235200
2010-06-04,18.770000,18.930000,18.430000,18.510000,14.517919,5453900
2010-06-07,18.559999,18.670000,18.309999,18.330000,14.376743,5196300
2010-06-08,18.320000,18.570000,18.139999,18.480000,14.494389,2553000
2010-06-09,18.770000,18.990000,18.530001,18.620001,14.604197,3632800
2010-06-10,19.190001,19.389999,19.100000,19.370001,15.192444,2021500
2010-06-11,19.070000,19.379999,19.049999,19.340000,15.168912,1488400
2010-06-14,19.680000,19.809999,19.490000,19.500000,15.294405,1701200
2010-06-15,19.870001,20.170000,19.809999,20.139999,15.796375,1697400
2010-06-16,19.879999,20.100000,19.850000,20.049999,15.725784,3352800
