Model,alpha,Info set,AR,MDD,CVaR@5%,SR,Calmar
T-dist fixed-alpha,5%,causal (RL),1.5543527642991606e-05,8.367428971922664e-11,1.4492002380179951e-08,1.5887783854389144,185762.2896489317
"Normal-DDPG (paper, fixed-alpha)",5%,causal (RL),1.1172950996174436e-05,5.376635420273569e-05,-6.264330840392958e-06,0.044658436873727475,0.20780562792196805
T-dist FiLM (sigma_scale=25k),5%,causal (RL),0.00025501905412106396,0.000663520929437415,-8.884075047380305e-05,0.07895402428883616,0.38434214025063096
T-dist FiLM (sigma_scale=20k),5%,causal (RL),0.002420812355703461,0.004150435956140966,-0.0005495979998078646,0.12345436174971641,0.5832670064747387
T-dist FiLM (sigma_scale=15k),5%,causal (RL),0.007428126548283398,0.026154742710138464,-0.003172293120253394,0.0679946396623821,0.28400686753473603
T-dist fixed-alpha,15%,causal (RL),0.03683825698667942,0.2494247794179883,-0.029199386336957258,0.06589577343312061,0.14769285181944788
"Normal-DDPG (paper, fixed-alpha)",15%,causal (RL),0.04216678080222214,0.22841261481327954,-0.03890738202702786,0.07279505297225719,0.1846079334834121
T-dist FiLM (sigma_scale=25k),15%,causal (RL),0.0016819600879476315,0.004539385125087335,-0.0005795044405184635,0.08124651088064502,0.370525972482952
T-dist FiLM (sigma_scale=20k),15%,causal (RL),0.00888098718436825,0.01643950656690878,-0.0020683643734714908,0.1211113269270676,0.5402222474392792
T-dist FiLM (sigma_scale=15k),15%,causal (RL),0.015888146308924656,0.06468597528896829,-0.007700232418925987,0.06514243878478955,0.245619645339633
T-dist fixed-alpha,30%,causal (RL),0.06168790738848218,0.10242048875964624,-0.014731889035434372,0.1360996417229267,0.6023004589760097
"Normal-DDPG (paper, fixed-alpha)",30%,causal (RL),0.10319534574341693,0.2101278662741109,-0.0312960066691069,0.11753126510096966,0.4911073793934549
T-dist FiLM (sigma_scale=25k),30%,causal (RL),0.018846821601600672,0.06512893637058322,-0.007579415846939117,0.07699099675437207,0.2893770826282558
T-dist FiLM (sigma_scale=20k),30%,causal (RL),0.04095392344726689,0.09624256775844389,-0.011582677042532826,0.10918295434159425,0.4255281670170711
T-dist FiLM (sigma_scale=15k),30%,causal (RL),0.026589955506410634,0.17364796161907078,-0.02042151178108971,0.0578474517199908,0.153125641432755
T-dist fixed-alpha,50%,causal (RL),0.11575691760534146,0.3409276332703009,-0.04130395266880123,0.11883286497064403,0.33953515734397743
"Normal-DDPG (paper, fixed-alpha)",50%,causal (RL),0.11672552363881072,0.34104708544362333,-0.04131392825688153,0.1194176127172931,0.3422563294654104
T-dist FiLM (sigma_scale=25k),50%,causal (RL),0.03582814131365342,0.30181447687730373,-0.035070154614736164,0.06610408741819682,0.11870915432667793
T-dist FiLM (sigma_scale=20k),50%,causal (RL),0.04461600873806115,0.2787918838967775,-0.033186038054928764,0.0725863787929909,0.16003338445311485
T-dist FiLM (sigma_scale=15k),50%,causal (RL),0.016335940490484147,0.2893809358835925,-0.03442857190809458,0.05062822708567353,0.056451336162156536
"Markowitz tangency (oracle, look-ahead)",-,oracle,0.12951836534749717,0.34104746850765355,-0.04131395557021214,0.12709539367684905,0.3797663882809047
"Markowitz GMV (oracle, look-ahead)",-,oracle,0.04718035450591995,0.3110327356535496,-0.037878666754875334,0.07525640989124337,0.1516893532341007
Markowitz tangency (trained-once),-,trained,0.12951836534753758,0.34104746850765155,-0.04131395557021197,0.1270953936768737,0.3797663882810254
Markowitz GMV (trained-once),-,trained,0.12951836534721028,0.3410474685076607,-0.04131395557021262,0.12709539367667794,0.37976638828005554
t-CVaR@a (rel) oracle,5%,oracle,-4.944196888456709e-06,4.9453229172824464e-06,-5.678123617018745e-08,-0.45764495949962825,-0.99977230428739
t-CVaR@a (rel) oracle,15%,oracle,-1.0526360293749981e-05,1.0526360293749981e-05,-1.0483253997789915e-07,-0.8694392595729825,-1.0
t-CVaR@a (rel) oracle,30%,oracle,1.3840100218098783e-05,1.1110166999698633e-06,-1.5510314837613876e-07,0.8866675680527427,12.457148680550167
t-CVaR@a (rel) oracle,50%,oracle,0.12951836534725492,0.3410474685076597,-0.041313955570212516,0.12709539367670383,0.3797663882801875
t-CVaR@a (abs) oracle,5%,oracle,1.022866702249381e-05,5.734256739739145e-08,-8.026514213960594e-09,1.007555337442315,178.37825348153345
t-CVaR@a (abs) oracle,15%,oracle,-5.028421572794706e-06,5.028421572794706e-06,-5.196542714512266e-08,-0.4731465238872083,-1.0
t-CVaR@a (abs) oracle,30%,oracle,4.3902937483242255e-06,3.4875886983509003e-07,-4.881101551578427e-08,0.39258372574533573,12.588335747274808
t-CVaR@a (abs) oracle,50%,oracle,-1.3224061327088421e-06,1.8155058509354442e-06,-8.715779479763806e-08,-0.10899796008245717,-0.728395412235917
t-CVaR@a (rel) trained,5%,trained,-1.1453944046446729e-05,1.1463573493131207e-05,-1.6136686707370382e-07,-0.8159328730946409,-0.9991599960788625
t-CVaR@a (rel) trained,15%,trained,1.0247286308606718e-05,1.88165877872649e-06,-2.2671059437881715e-07,0.5730153080133789,5.445879149003891
